FWD,FWD,MID,MID,MID,DEF,DEF,GK,Projected,Salary
Edinson Cavani,Sardar Azmoun,Ricardo Quaresma,Matias Vecino,Rodrigo Bentancur,Jordi Alba,Mehdi Benatia,Munir Mohand Mohamedi,126.2,57000
Edinson Cavani,Sardar Azmoun,Ricardo Quaresma,Matias Vecino,Andres Iniesta,Jordi Alba,Mehdi Benatia,Fernando Muslera,126.1,60000
Cristiano Ronaldo,Edinson Cavani,Matias Vecino,Joao Mario,Moubarak Boussoufa,Mehdi Benatia,Martin Caceres,Fernando Muslera,126.0,59500
Cristiano Ronaldo,Sardar Azmoun,Ricardo Quaresma,Matias Vecino,Giorgian De Arrascaeta,Jordi Alba,Mehdi Benatia,Munir Mohand Mohamedi,125.9,60000
Edinson Cavani,Sardar Azmoun,Ricardo Quaresma,Matias Vecino,Giorgian De Arrascaeta,Jordi Alba,Mehdi Benatia,Munir Mohand Mohamedi,125.8,58000
Cristiano Ronaldo,Sardar Azmoun,Isco,Bernardo Silva,Matias Vecino,Jordi Alba,Mehdi Benatia,Alireza Beiranvand,125.7,60000
Cristiano Ronaldo,Sardar Azmoun,Isco,Bernardo Silva,Matias Vecino,Mehdi Benatia,Jose Maria Gimenez,Alireza Beiranvand,125.6,58000
Cristiano Ronaldo,Mehdi Taremi,Isco,Ricardo Quaresma,Matias Vecino,Achraf Hakimi,Guillermo Varela,Munir Mohand Mohamedi,125.5,59000
Sardar Azmoun,Mehdi Taremi,Isco,David Silva,Ricardo Quaresma,Achraf Hakimi,Gerard Pique,Munir Mohand Mohamedi,125.4,58000
Sardar Azmoun,Mehdi Taremi,Isco,David Silva,Abdallah El Said,Achraf Hakimi,Gerard Pique,Fernando Muslera,125.3,58500
Cristiano Ronaldo,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Mehdi Benatia,Gerard Pique,Alireza Beiranvand,125.2,59000
Cristiano Ronaldo,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Jose Maria Gimenez,Gerard Pique,Alireza Beiranvand,125.1,59500
Cristiano Ronaldo,Sardar Azmoun,Isco,Matias Vecino,Younes Belhanda,Mehdi Benatia,Jose Maria Gimenez,Fernando Muslera,125.0,58500
Cristiano Ronaldo,Mehdi Taremi,Hakim Ziyech,Bernardo Silva,Matias Vecino,Gerard Pique,Guillermo Varela,Fernando Muslera,124.9,60000
Cristiano Ronaldo,Karim Ansarifard,Isco,Matias Vecino,Giorgian De Arrascaeta,Jordi Alba,Mehdi Benatia,Fernando Muslera,124.8,56500
Sardar Azmoun,Marwan Mohsen,Isco,David Silva,Matias Vecino,Achraf Hakimi,Jordi Alba,Fernando Muslera,124.7,58500
Edinson Cavani,Karim Ansarifard,Isco,David Silva,Tarek Hamed,Achraf Hakimi,Jordi Alba,Fernando Muslera,124.6,59500
Edinson Cavani,Sardar Azmoun,Isco,Giorgian De Arrascaeta,Tarek Hamed,Jordi Alba,Mehdi Benatia,Munir Mohand Mohamedi,124.5,59000
Edinson Cavani,Marwan Mohsen,Isco,Bernardo Silva,Matias Vecino,Achraf Hakimi,Jordi Alba,Munir Mohand Mohamedi,124.4,58000
Edinson Cavani,Marwan Mohsen,Isco,Bernardo Silva,Giorgian De Arrascaeta,Jordi Alba,Mehdi Benatia,Fernando Muslera,124.3,60000
Edinson Cavani,Marwan Mohsen,Isco,Ricardo Quaresma,Matias Vecino,Jordi Alba,Jose Maria Gimenez,Fernando Muslera,124.2,59000
Cristiano Ronaldo,Sardar Azmoun,Ricardo Quaresma,Matias Vecino,Rodrigo Bentancur,Martin Caceres,Guillermo Varela,Munir Mohand Mohamedi,124.1,60000
Cristiano Ronaldo,Sardar Azmoun,Isco,Rodrigo Bentancur,Moubarak Boussoufa,Martin Caceres,Diego Godin,Munir Mohand Mohamedi,124.0,60000
Cristiano Ronaldo,Sardar Azmoun,Ricardo Quaresma,Matias Vecino,Rodrigo Bentancur,Mehdi Benatia,Raphael Guerreiro,Munir Mohand Mohamedi,123.9,57000
Cristiano Ronaldo,Sardar Azmoun,Bernardo Silva,Giorgian De Arrascaeta,Moubarak Boussoufa,Mehdi Benatia,Martin Caceres,Fernando Muslera,123.8,59500
Cristiano Ronaldo,Sardar Azmoun,David Silva,Rodrigo Bentancur,Moubarak Boussoufa,Mehdi Benatia,Martin Caceres,Munir Mohand Mohamedi,123.7,59500
Cristiano Ronaldo,Sardar Azmoun,Matias Vecino,Rodrigo Bentancur,Andres Iniesta,Mehdi Benatia,Guillermo Varela,Fernando Muslera,123.6,59500
Cristiano Ronaldo,Sardar Azmoun,Matias Vecino,Rodrigo Bentancur,Joao Mario,Mehdi Benatia,Guillermo Varela,Munir Mohand Mohamedi,123.5,57500
Cristiano Ronaldo,Sardar Azmoun,Matias Vecino,Rodrigo Bentancur,Andres Iniesta,Jordi Alba,Mehdi Benatia,Munir Mohand Mohamedi,123.4,59000
Cristiano Ronaldo,Edinson Cavani,Matias Vecino,Andres Iniesta,Moubarak Boussoufa,Achraf Hakimi,Jose Maria Gimenez,Munir Mohand Mohamedi,123.3,59500
Cristiano Ronaldo,Karim Ansarifard,Isco,Bernardo Silva,Andres Iniesta,Achraf Hakimi,Jordi Alba,Munir Mohand Mohamedi,123.2,60000
Cristiano Ronaldo,Karim Ansarifard,Isco,Matias Vecino,Andres Iniesta,Jordi Alba,Mehdi Benatia,Fernando Muslera,123.1,57500
Cristiano Ronaldo,Mehdi Taremi,Isco,Matias Vecino,Andres Iniesta,Jose Maria Gimenez,Raphael Guerreiro,Fernando Muslera,123.0,58000
Cristiano Ronaldo,Andre Silva,Bernardo Silva,Matias Vecino,Rodrigo Bentancur,Martin Caceres,Ahmed Hegazi,Munir Mohand Mohamedi,122.9,58500
Cristiano Ronaldo,Sardar Azmoun,Matias Vecino,Rodrigo Bentancur,Mohamed Elneny,Jordi Alba,Martin Caceres,Munir Mohand Mohamedi,122.8,58500
Cristiano Ronaldo,Sardar Azmoun,Isco,Matias Vecino,Younes Belhanda,Mehdi Benatia,Martin Caceres,Munir Mohand Mohamedi,122.7,58500
Cristiano Ronaldo,Sardar Azmoun,Isco,Matias Vecino,Younes Belhanda,Jose Maria Gimenez,Martin Caceres,Munir Mohand Mohamedi,122.6,59000
Cristiano Ronaldo,Sardar Azmoun,Matias Vecino,Sergio Busquets,Mohamed Elneny,Achraf Hakimi,Mehdi Benatia,Munir Mohand Mohamedi,122.5,56500
Cristiano Ronaldo,Sardar Azmoun,Ricardo Quaresma,Sergio Busquets,Mohamed Elneny,Achraf Hakimi,Jose Maria Gimenez,Munir Mohand Mohamedi,122.4,60000
Sardar Azmoun,Karim Ansarifard,Isco,Bernardo Silva,Joao Mario,Achraf Hakimi,Sergio Ramos,Munir Mohand Mohamedi,122.3,55000
Cristiano Ronaldo,Sardar Azmoun,Matias Vecino,Andres Iniesta,Nahitan Nandez,Jordi Alba,Mehdi Benatia,Fernando Muslera,122.2,60000
Cristiano Ronaldo,Marwan Mohsen,Isco,Matias Vecino,Rodrigo Bentancur,Sergio Ramos,Mehdi Benatia,Munir Mohand Mohamedi,122.1,58000
Cristiano Ronaldo,Sardar Azmoun,Matias Vecino,Giorgian De Arrascaeta,Nordin Amrabat,Mehdi Benatia,Mohamed Abdul Shafy,Fernando Muslera,122.0,57000
Edinson Cavani,Sardar Azmoun,Ricardo Quaresma,Matias Vecino,Younes Belhanda,Achraf Hakimi,Martin Caceres,Fernando Muslera,121.9,59000
Sardar Azmoun,Karim Ansarifard,David Silva,Ricardo Quaresma,Matias Vecino,Jordi Alba,Mehdi Benatia,Fernando Muslera,121.8,55000
Cristiano Ronaldo,Karim Ansarifard,Isco,Rodrigo Bentancur,Andres Iniesta,Achraf Hakimi,Sergio Ramos,Munir Mohand Mohamedi,121.7,59000
Cristiano Ronaldo,Sardar Azmoun,Ricardo Quaresma,Matias Vecino,Tarek Hamed,Mehdi Benatia,Diego Godin,Munir Mohand Mohamedi,121.6,59500
Cristiano Ronaldo,Andre Silva,Isco,Matias Vecino,Abdallah El Said,Achraf Hakimi,Mohamed Abdul Shafy,Munir Mohand Mohamedi,121.5,57500
Cristiano Ronaldo,Karim Ansarifard,Isco,Bernardo Silva,Matias Vecino,Achraf Hakimi,Mohamed Abdul Shafy,Munir Mohand Mohamedi,121.4,54000
Cristiano Ronaldo,Mehdi Taremi,Ricardo Quaresma,Joao Mario,Sergio Busquets,Mehdi Benatia,Jose Maria Gimenez,Fernando Muslera,121.3,59000
Cristiano Ronaldo,Sardar Azmoun,Hakim Ziyech,Ricardo Quaresma,Mohamed Elneny,Jose Maria Gimenez,Mohamed Abdul Shafy,Munir Mohand Mohamedi,121.2,59500
Edinson Cavani,Karim Ansarifard,Isco,Ricardo Quaresma,Abdallah El Said,Pepe,Guillermo Varela,Fernando Muslera,121.1,59500
Cristiano Ronaldo,Sardar Azmoun,Hakim Ziyech,Ricardo Quaresma,Matias Vecino,Jordi Alba,Roozbeh Cheshmi,Munir Mohand Mohamedi,121.0,60000
Cristiano Ronaldo,Karim Ansarifard,Isco,Ricardo Quaresma,Mohamed Elneny,Jordi Alba,Mehdi Benatia,Munir Mohand Mohamedi,120.9,57500
